budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,movie_name,vote_average,vote_count,Director,Producer,Actor_1,Actor_2,company_name
4000000,Crime|Comedy,5,en,Four Rooms,22.87623,1995-12-09,4300000,98.0,Four Rooms,6.5,530,Quentin Tarantino,Lawrence Bender,Tim Roth,Antonio Banderas,Miramax Films
11000000,Adventure|Action|Science Fiction,11,en,Star Wars,126.393695,1977-05-25,775398007,121.0,Star Wars,8.1,6624,George Lucas,Rick McCallum,Mark Hamill,Harrison Ford,Lucasfilm
94000000,Animation|Family,12,en,Finding Nemo,85.688789,2003-05-30,940335536,100.0,Finding Nemo,7.6,6122,Andrew Stanton,Graham Walters,Albert Brooks,Ellen DeGeneres,Pixar Animation Studios
55000000,Comedy|Drama|Romance,13,en,Forrest Gump,138.133331,1994-07-06,677945399,142.0,Forrest Gump,8.2,7927,Robert Zemeckis,Steve Starkey,Tom Hanks,Robin Wright,Paramount Pictures
15000000,Drama,14,en,American Beauty,80.878605,1999-09-15,356296601,122.0,American Beauty,7.9,3313,Sam Mendes,Dan Jinks,Kevin Spacey,Annette Bening,DreamWorks SKG
12800000,Drama|Crime|Music,16,en,Dancer in the Dark,22.022228,2000-05-17,40031879,140.0,Dancer in the Dark,7.6,377,Lars von Trier,Leo Pescarolo,Björk,Catherine Deneuve,Fine Line Features
90000000,Adventure|Fantasy|Action|Thriller|Science Fiction,18,en,The Fifth Element,109.528572,1997-05-07,263920180,126.0,The Fifth Element,7.3,3885,Luc Besson,Patrice Ledoux,Bruce Willis,Gary Oldman,Columbia Pictures
92620000,Drama|Science Fiction,19,de,Metropolis,32.351527,1927-01-10,650422,153.0,Metropolis,8.0,657,Fritz Lang,Erich Pommer,Brigitte Helm,Alfred Abel,Paramount Pictures
0,Drama|Romance,20,en,My Life Without Me,7.958831,2003-03-07,9726954,106.0,My Life Without Me,7.2,77,Isabel Coixet,Gordon McLennan,Sarah Polley,Amanda Plummer,El Deseo
140000000,Adventure|Fantasy|Action,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Geoffrey Rush,Walt Disney Pictures
30000000,Action|Crime,24,en,Kill Bill: Vol. 1,79.754966,2003-10-10,180949000,111.0,Kill Bill: Vol. 1,7.7,4949,Quentin Tarantino,Katsuji Morishita,Uma Thurman,Lucy Liu,Miramax Films
72000000,Drama|War,25,en,Jarhead,32.227223,2005-11-04,96889998,125.0,Jarhead,6.6,765,Sam Mendes,Sam Mercer,Jamie Foxx,Jake Gyllenhaal,Universal Pictures
31500000,Drama|War,28,en,Apocalypse Now,49.973462,1979-08-15,89460381,153.0,Apocalypse Now,8.0,2055,Francis Ford Coppola,Mona Skager,Martin Sheen,Marlon Brando,United Artists
14000000,Western,33,en,Unforgiven,37.380435,1992-08-07,159157447,131.0,Unforgiven,7.7,1113,Clint Eastwood,Julian Ludwig,Clint Eastwood,Gene Hackman,Malpaso Productions
75000000,Animation|Comedy|Family,35,en,The Simpsons Movie,46.875375,2007-07-25,527068851,87.0,The Simpsons Movie,6.9,2264,David Silverman,Claudia Katz,Dan Castellaneta,Julie Kavner,Gracie Films
20000000,Science Fiction|Drama|Romance,38,en,Eternal Sunshine of the Spotless Mind,56.481487,2004-03-19,72258126,108.0,Eternal Sunshine of the Spotless Mind,7.9,3652,Michel Gondry,Steve Golin,Jim Carrey,Kate Winslet,Anonymous Content
2000000,Drama|Thriller,55,es,Amores perros,23.281616,2000-06-16,20908467,154.0,Amores perros,7.6,521,Alejandro González Iñárritu,Raúl Olvera Ferrer,Gael García Bernal,Vanessa Bauche,Altavista Films
200000000,Adventure|Fantasy|Action,58,en,Pirates of the Caribbean: Dead Man's Chest,145.847379,2006-06-20,1065659812,151.0,Pirates of the Caribbean: Dead Man's Chest,7.0,5246,Gore Verbinski,Pat Sandston,Johnny Depp,Orlando Bloom,Walt Disney Pictures
32000000,Drama|Thriller|Crime,59,en,A History of Violence,34.628738,2005-09-23,60740827,96.0,A History of Violence,6.9,832,David Cronenberg,J.C. Spink,Viggo Mortensen,Maria Bello,New Line Cinema
10500000,Science Fiction|Mystery|Adventure,62,en,2001: A Space Odyssey,86.201184,1968-04-10,68700000,149.0,2001: A Space Odyssey,7.9,2998,Stanley Kubrick,Victor Lyndon,Keir Dullea,Gary Lockwood,Stanley Kubrick Productions
41000000,Drama,65,en,8 Mile,32.798571,2002-11-08,215000000,110.0,8 Mile,6.8,1626,Curtis Hanson,Jimmy Iovine,Eminem,Mekhi Phifer,Imagine Entertainment
50000000,Crime|Drama|Thriller,66,en,Absolute Power,13.576765,1997-02-14,50068310,121.0,Absolute Power,6.4,223,Clint Eastwood,Karen S. Spiegel,Clint Eastwood,Gene Hackman,Columbia Pictures
15000000,Comedy|Science Fiction,68,en,Brazil,41.089863,1985-02-20,0,132.0,Brazil,7.5,861,Terry Gilliam,Patrick Cassavetti,Jonathan Pryce,Robert De Niro,Embassy International Pictures
28000000,Drama|Music|Romance,69,en,Walk the Line,35.580032,2005-09-13,186438883,136.0,Walk the Line,7.3,718,James Mangold,Cathy Konrad,Joaquin Phoenix,Reese Witherspoon,Tree Line Films
30000000,Drama,70,en,Million Dollar Baby,70.456012,2004-12-15,216763646,132.0,Million Dollar Baby,7.7,2439,Clint Eastwood,Albert S. Ruddy,Clint Eastwood,Hilary Swank,Lakeshore Entertainment
5000000,Drama|Comedy|Music,71,en,Billy Elliot,20.428237,2000-05-18,110000000,110.0,Billy Elliot,7.4,750,Stephen Daldry,Natascha Wharton,Jamie Bell,Julie Walters,BBC Films
20000000,Drama,73,en,American History X,73.567232,1998-10-30,23875127,119.0,American History X,8.2,3016,Tony Kaye,John Morrissey,Edward Norton,Edward Furlong,New Line Cinema
132000000,Adventure|Thriller|Science Fiction,74,en,War of the Worlds,48.572726,2005-06-28,591739379,116.0,War of the Worlds,6.2,2322,Steven Spielberg,Colin Wilson,Tom Cruise,Dakota Fanning,Paramount Pictures
70000000,Comedy|Fantasy|Science Fiction,75,en,Mars Attacks!,44.090535,1996-12-12,101371017,106.0,Mars Attacks!,6.1,1509,Tim Burton,Laurie Parker,Jack Nicholson,Glenn Close,Tim Burton Productions
2500000,Drama|Romance,76,en,Before Sunrise,23.672571,1995-01-27,5535405,105.0,Before Sunrise,7.7,959,Richard Linklater,Anne Walker-McBay,Ethan Hawke,Julie Delpy,Detour Film Production
9000000,Mystery|Thriller,77,en,Memento,60.715151,2000-10-11,39723096,113.0,Memento,8.1,4028,Christopher Nolan,Suzanne Todd,Guy Pearce,Carrie-Anne Moss,Summit Entertainment
28000000,Science Fiction|Drama|Thriller,78,en,Blade Runner,94.056131,1982-06-25,33139618,117.0,Blade Runner,7.9,3509,Ridley Scott,Michael Deeley,Harrison Ford,Rutger Hauer,Shaw Brothers
31000000,Drama|Adventure|Action|History,79,zh,英雄,23.607392,2002-12-19,177394432,99.0,Hero,7.2,635,Zhang Yimou,Zhenyan Zhang,Jet Li,Tony Leung Chiu-Wai,Beijing New Picture Film Co. Ltd.
2700000,Drama|Romance,80,en,Before Sunset,14.799323,2004-02-10,15992615,80.0,Before Sunset,7.6,718,Richard Linklater,Anne Walker-McBay,Ethan Hawke,Julie Delpy,Castle Rock Entertainment
130000,Drama|Thriller,83,en,Open Water,15.611857,2004-08-06,54667954,79.0,Open Water,5.4,315,Chris Kentis,Laura Lau,Blanchard Ryan,Daniel Travis,Plunge Pictures LLC
18000000,Adventure|Action,85,en,Raiders of the Lost Ark,68.159596,1981-06-12,389925971,115.0,Raiders of the Lost Ark,7.7,3854,Steven Spielberg,Frank Marshall,Harrison Ford,Karen Allen,Lucasfilm
28000000,Adventure|Action,87,en,Indiana Jones and the Temple of Doom,66.976776,1984-05-23,333000000,118.0,Indiana Jones and the Temple of Doom,7.1,2781,Steven Spielberg,Robert Watts,Harrison Ford,Kate Capshaw,Lucasfilm
48000000,Adventure|Action,89,en,Indiana Jones and the Last Crusade,80.972475,1989-05-24,474171806,127.0,Indiana Jones and the Last Crusade,7.6,3152,Steven Spielberg,Arthur F. Repola,Harrison Ford,Sean Connery,Lucasfilm
15000000,Action|Comedy|Crime,90,en,Beverly Hills Cop,29.843818,1984-11-29,316360478,105.0,Beverly Hills Cop,6.8,961,Martin Brest,Don Simpson,Eddie Murphy,Judge Reinhold,Paramount Pictures
140000000,Action|Thriller|Science Fiction|Adventure,95,en,Armageddon,58.485967,1998-07-01,553799566,151.0,Armageddon,6.4,2482,Michael Bay,Gale Anne Hurd,Bruce Willis,Billy Bob Thornton,Jerry Bruckheimer Films
20000000,Action|Comedy|Crime,96,en,Beverly Hills Cop II,25.28436,1987-05-18,299965036,100.0,Beverly Hills Cop II,6.1,613,Tony Scott,Don Simpson,Eddie Murphy,Judge Reinhold,Paramount Pictures
103000000,Action|Drama|Adventure,98,en,Gladiator,95.301296,2000-05-01,457640427,155.0,Gladiator,7.9,5439,Ridley Scott,Douglas Wick,Russell Crowe,Joaquin Phoenix,DreamWorks SKG
1350000,Comedy|Crime,100,en,"Lock, Stock and Two Smoking Barrels",16.032594,1998-03-05,3897569,105.0,"Lock, Stock and Two Smoking Barrels",7.5,1648,Guy Ritchie,Matthew Vaughn,Jason Flemyng,Dexter Fletcher,Handmade Films Ltd.
1300000,Crime|Drama,103,en,Taxi Driver,58.845025,1976-02-07,28262574,114.0,Taxi Driver,8.0,2535,Martin Scorsese,Michael Phillips,Robert De Niro,Cybill Shepherd,Columbia Pictures Corporation
1530000,Action|Drama|Thriller,104,de,Lola rennt,27.36562,1998-08-20,7267585,81.0,Run Lola Run,7.2,664,Tom Tykwer,Gebhard Henke,Franka Potente,Moritz Bleibtreu,X-Filme Creative Pool
19000000,Adventure|Comedy|Science Fiction|Family,105,en,Back to the Future,76.603233,1985-07-03,381109762,116.0,Back to the Future,8.0,6079,Robert Zemeckis,Neil Canton,Michael J. Fox,Christopher Lloyd,Universal Pictures
18000000,Science Fiction|Action|Adventure|Thriller,106,en,Predator,50.009408,1987-06-11,98235548,107.0,Predator,7.3,2093,John McTiernan,Lawrence Gordon,Arnold Schwarzenegger,Carl Weathers,Twentieth Century Fox Film Corporation
10000000,Thriller|Crime,107,en,Snatch,53.595686,2000-09-01,83557872,103.0,Snatch,7.7,2912,Guy Ritchie,Matthew Vaughn,Jason Statham,Brad Pitt,Columbia Pictures Corporation
25000000,Action|Crime|Drama|Thriller,111,en,Scarface,70.105981,1983-12-08,65884703,170.0,Scarface,8.0,2948,Brian De Palma,Martin Bregman,Al Pacino,Steven Bauer,Universal Pictures
14000000,Romance|Comedy,114,en,Pretty Woman,45.473484,1990-03-23,463000000,119.0,Pretty Woman,7.0,1746,Garry Marshall,Steven Reuther,Julia Roberts,Richard Gere,Touchstone Pictures
