budget,genres,movie_id,original_language,original_title,popularity,release_date,revenue,runtime,movie_name,vote_average,vote_count,Director,Producer,Actor_1,Actor_2,company_name,keyword_names
4000000,Crime|Comedy,5,en,Four Rooms,22.87623,1995-12-09,4300000,98.0,Four Rooms,6.5,530,Quentin Tarantino,Lawrence Bender,Tim Roth,Antonio Banderas,Miramax Films,"hotel new year's eve witch bet hotel room sperm anthology los angeles, california hoodlum multiple storylines woman director"
11000000,Adventure|Action|Science Fiction,11,en,Star Wars,126.393695,1977-05-25,775398007,121.0,Star Wars,8.1,6624,George Lucas,Rick McCallum,Mark Hamill,Harrison Ford,Lucasfilm,android galaxy hermit smuggling (contraband) superhero space rescue mission empire rebellion planet desert super power space opera wizard totalitarianism
94000000,Animation|Family,12,en,Finding Nemo,85.688789,2003-05-30,940335536,100.0,Finding Nemo,7.6,6122,Andrew Stanton,Graham Walters,Albert Brooks,Ellen DeGeneres,Pixar Animation Studios,"parent child relationship sydney, australia harbor anthropomorphism underwater shark pelican fish tank great barrier reef sea turtle missing child aftercreditsstinger duringcreditsstinger short term memory loss clownfish father son reunion protective father"
55000000,Comedy|Drama|Romance,13,en,Forrest Gump,138.133331,1994-07-06,677945399,142.0,Forrest Gump,8.2,7927,Robert Zemeckis,Steve Starkey,Tom Hanks,Robin Wright,Paramount Pictures,"vietnam veteran post-traumatic stress disorder hippie china washington dc, usa single parent mentally disabled based on novel or book waitress usa president optimism parent child relationship 1970s autism drug addiction alabama vietnam war black panther party bus stop friendship family relationships single mother military anti war protest 1960s college american football mother son relationship"
15000000,Drama,14,en,American Beauty,80.878605,1999-09-15,356296601,122.0,American Beauty,7.9,3313,Sam Mendes,Dan Jinks,Kevin Spacey,Annette Bening,DreamWorks SKG,adultery parent child relationship midlife crisis coming out first time virgin estate agent cheerleader rose satire loneliness dysfunctional family dysfunctional marriage dark comedy suburbia coming of age marijuana love affair exercise extramarital affair quitting a job retired army man closeted homosexual gay theme teenager
12800000,Drama|Crime|Music,16,en,Dancer in the Dark,22.022228,2000-05-17,40031879,140.0,Dancer in the Dark,7.6,377,Lars von Trier,Leo Pescarolo,Björk,Catherine Deneuve,Fine Line Features,individual dancing robbery factory worker small town blindness and impaired vision immigrant eye operation naivety hereditary disease dying and death musical debt police officer
90000000,Adventure|Fantasy|Action|Thriller|Science Fiction,18,en,The Fifth Element,109.528572,1997-05-07,263920180,126.0,The Fifth Element,7.3,3885,Luc Besson,Patrice Ledoux,Bruce Willis,Gary Oldman,Columbia Pictures,saving the world new york city flying car taxi cyborg egypt anti hero stowaway space travel dystopia race against time alien life-form arms dealer priest end of the world shootout police chase cab driver cyberpunk cult film archaeologist space opera military opera singer futuristic city ancient evil cruise liner elemental hieroglyphics spaceship good versus evil alien robot
92620000,Drama|Science Fiction,19,de,Metropolis,32.351527,1927-01-10,650422,153.0,Metropolis,8.0,657,Fritz Lang,Erich Pommer,Brigitte Helm,Alfred Abel,Paramount Pictures,man vs machine based on novel or book underground world inventor metropolis future class society dystopia tower of babel delirium steampunk mad scientist grim reaper prophet robot destruction silent film expressionism seven deadly sins depravity mob justice downtrodden saviour social unrest german expressionism mediator 2020s
0,Drama|Romance,20,en,My Life Without Me,7.958831,2003-03-07,9726954,106.0,My Life Without Me,7.2,77,Isabel Coixet,Gordon McLennan,Sarah Polley,Amanda Plummer,El Deseo,farewell parent child relationship dying and death night shift daughter secret love responsibility woman director
140000000,Adventure|Fantasy|Action,22,en,Pirates of the Caribbean: The Curse of the Black Pearl,271.972889,2003-07-09,655011224,143.0,Pirates of the Caribbean: The Curse of the Black Pearl,7.5,6985,Gore Verbinski,Jerry Bruckheimer,Johnny Depp,Geoffrey Rush,Walt Disney Pictures,exotic island blacksmith east india company gold jamaica skeleton british empire governor pirate swashbuckler 18th century caribbean sea aftercreditsstinger pirate ship british navy tortuga based on theme park ride
30000000,Action|Crime,24,en,Kill Bill: Vol. 1,79.754966,2003-10-10,180949000,111.0,Kill Bill: Vol. 1,7.7,4949,Quentin Tarantino,Katsuji Morishita,Uma Thurman,Lucy Liu,Miramax Films,japan coma martial arts kung fu showdown asia yakuza sword bride vigilante sword fight revenge female yakuza animated scene wedding samurai sword eye patch retribution
72000000,Drama|War,25,en,Jarhead,32.227223,2005-11-04,96889998,125.0,Jarhead,6.6,765,Sam Mendes,Sam Mercer,Jamie Foxx,Jake Gyllenhaal,Universal Pictures,california gulf war marine corps saudi arabia petrol kuwait based on memoir or autobiography u.s. marine anti war desert storm
31500000,Drama|War,28,en,Apocalypse Now,49.973462,1979-08-15,89460381,153.0,Apocalypse Now,8.0,2055,Francis Ford Coppola,Mona Skager,Martin Sheen,Marlon Brando,United Artists,cia drug abuse journalist based on novel or book guerrilla warfare vietnam vietnam war vietcong cambodia secret mission army insanity epic surrealism tribe mission green beret jungle descent into madness brutality riverboat military anti war
